frame,timestamp_ns,raw_z,z_filt,w_px,conf
940,1783400639299368981,2.055,2.086,94.2,0.836
945,1783400639467394611,1.908,2.055,101.4,0.818
950,1783400639631413561,1.785,2.030,108.4,0.827
955,1783400639799431116,1.973,1.973,98.1,0.827
960,1783400639967368219,2.029,1.973,95.4,0.828
965,1783400640131327877,1.938,1.938,99.9,0.830
970,1783400640299342786,1.896,1.938,102.1,0.810
975,1783400640467313673,1.888,1.938,102.5,0.826
980,1783400640631453583,1.911,1.911,101.2,0.832
985,1783400640799580857,1.793,1.896,107.9,0.827
990,1783400640962436259,1.875,1.888,103.2,0.842
995,1783400641130890513,1.744,1.875,110.9,0.823
1000,1783400641299288400,1.840,1.840,105.2,0.835
1005,1783400641463357034,1.794,1.794,107.8,0.829
1010,1783400641632004975,1.831,1.831,105.7,0.835
1015,1783400641799386665,1.768,1.794,109.4,0.833
1020,1783400641962487243,1.821,1.821,106.3,0.831
1025,1783400642130398558,1.929,1.821,100.3,0.842
1030,1783400642297940321,1.959,1.831,98.8,0.834
1035,1783400642462533701,1.900,1.900,101.8,0.832
1040,1783400642641403262,1.961,1.929,98.7,0.834
1045,1783400642798230690,1.924,1.929,100.6,0.837
1050,1783400642973919267,1.942,1.942,99.6,0.829
1055,1783400643142139487,1.940,1.940,99.7,0.831
1060,1783400643309183085,1.953,1.942,99.1,0.836
1065,1783400643473105782,2.026,1.942,95.5,0.843
1070,1783400643631479604,2.004,1.953,96.5,0.832
1075,1783400643810107588,2.070,2.004,93.5,0.835
1080,1783400643962249799,1.983,2.004,97.6,0.831
1085,1783400644130933277,2.027,2.026,95.5,0.840
1090,1783400644299190698,2.145,2.027,90.2,0.839
1095,1783400644472822583,2.152,2.070,89.9,0.834
1100,1783400644640506937,2.077,2.077,93.1,0.833
1105,1783400644808538439,2.122,2.122,91.2,0.829
1110,1783400644972880071,2.020,2.122,95.8,0.828
1115,1783400645140591575,1.935,2.077,100.0,0.825
1120,1783400645309982356,2.028,2.028,95.4,0.833
1125,1783400645472547849,1.978,2.020,97.8,0.829
1130,1783400645641087065,2.003,2.003,96.6,0.832
1135,1783400645808899652,2.048,2.003,94.5,0.820
1140,1783400645973149089,2.031,2.028,95.3,0.830
1145,1783400646129663182,2.180,2.031,88.8,0.825
1150,1783400646309469391,2.142,2.048,90.3,0.799
1155,1783400646472606547,2.020,2.048,95.8,0.828
1160,1783400646631559908,2.011,2.031,96.2,0.831
1165,1783400646799510827,2.168,2.142,89.3,0.825
1170,1783400646963253323,2.145,2.142,90.2,0.824
1175,1783400647131353104,2.136,2.136,90.6,0.831
1180,1783400647310529688,2.206,2.145,87.7,0.823
1185,1783400647463528183,2.239,2.168,86.4,0.816
1190,1783400647643010667,2.186,2.186,88.5,0.794
1195,1783400647799613869,2.296,2.206,84.3,0.812
1200,1783400647963109577,2.322,2.239,83.3,0.778
1205,1783400648132014536,2.167,2.239,89.3,0.828
1210,1783400648301253979,2.192,2.192,88.3,0.798
1215,1783400648462811930,2.237,2.237,86.5,0.800
1220,1783400648631207072,2.206,2.206,87.7,0.845
1225,1783400648800253860,2.216,2.206,87.3,0.851
1230,1783400648974875683,2.371,2.216,81.6,0.852
1235,1783400649142242865,2.346,2.237,82.5,0.845
1240,1783400649299615397,2.299,2.299,84.2,0.829
1245,1783400649463290324,2.246,2.299,86.2,0.840
1250,1783400649631566149,2.371,2.346,81.6,0.836
1255,1783400649798953548,2.354,2.346,82.2,0.828
1260,1783400649974269749,2.294,2.299,84.4,0.849
1265,1783400650131420731,2.410,2.354,80.3,0.827
1270,1783400650299338036,2.230,2.354,86.8,0.842
1275,1783400650463734001,2.332,2.332,83.0,0.836
1280,1783400650631640857,2.401,2.332,80.6,0.853
1285,1783400650798707599,2.418,2.401,80.0,0.849
1290,1783400650963623841,2.391,2.391,80.9,0.851
1295,1783400651131577033,2.218,2.391,87.2,0.823
1300,1783400651299256026,2.309,2.391,83.8,0.844
1305,1783400651462659038,2.247,2.309,86.1,0.813
1310,1783400651631718240,2.365,2.309,81.8,0.832
1315,1783400651799604065,2.342,2.309,82.6,0.840
1320,1783400651964217593,2.311,2.311,83.7,0.844
1325,1783400652131648585,2.094,2.311,92.4,0.822
1330,1783400652299611226,2.211,2.311,87.5,0.796
1335,1783400652463031360,2.277,2.277,85.0,0.820
1340,1783400652631628244,2.260,2.260,85.6,0.830
1345,1783400652799268584,2.246,2.246,86.2,0.819
1350,1783400652962633483,2.297,2.260,84.2,0.838
1355,1783400653142229232,2.333,2.277,82.9,0.851
1360,1783400653310133572,2.302,2.297,84.0,0.843
1365,1783400653463148428,2.365,2.302,81.8,0.845
1370,1783400653641104768,2.328,2.328,83.1,0.843
1375,1783400653798639417,2.370,2.333,81.6,0.804
1380,1783400653962394176,2.432,2.365,79.6,0.839
1385,1783400654131080860,2.498,2.370,77.5,0.855
