frame,timestamp_ns,raw_z,z_filt,w_px,conf
1205,1783399789128963579,,8.752,,
1210,1783399789293784090,,8.752,,
1215,1783399789462289931,,8.752,,
1220,1783399789639359217,,8.752,,
1225,1783399789793214547,5.537,8.752,34.9,0.669
1230,1783399789961930618,5.688,8.752,34.0,0.665
1235,1783399790125917487,5.673,5.688,34.1,0.618
1240,1783399790293272887,5.498,5.673,35.2,0.604
1245,1783399790461378369,,5.673,,
1250,1783399790637236318,5.677,5.673,34.1,0.515
1255,1783399790793405327,,5.673,,
1260,1783399790961941747,5.919,5.677,32.7,0.499
1265,1783399791126022955,,5.677,,
1270,1783399791293674977,5.798,5.677,33.4,0.467
1275,1783399791461997731,5.864,5.798,33.0,0.391
1280,1783399791625985471,5.542,5.798,34.9,0.436
1285,1783399791794199069,,5.798,,
1290,1783399791963266716,,5.798,,
1295,1783399792126594134,,5.798,,
1300,1783399792293933243,,5.798,,
1305,1783399792462512593,,5.798,,
1310,1783399792625631035,,5.798,,
1315,1783399792793971643,,5.798,,
1320,1783399792961181136,,,,
1325,1783399793125951862,,,,
1330,1783399793293975198,,,,
1335,1783399793460991584,,,,
1340,1783399793625943063,,,,
1345,1783399793794050820,7.815,,24.8,0.418
1350,1783399793961927277,6.442,7.129,30.0,0.666
1355,1783399794125899058,5.219,6.442,37.1,0.767
1360,1783399794293992537,4.970,5.831,38.9,0.778
1365,1783399794462091106,2.672,5.219,72.4,0.583
1370,1783399794625108586,4.298,4.970,45.0,0.841
1375,1783399794793849664,3.912,4.298,49.5,0.825
1380,1783399794960998692,1.627,3.912,118.9,0.628
1385,1783399795125927408,2.930,2.930,66.0,0.817
1390,1783399795293986542,2.214,2.930,87.4,0.764
1395,1783399795461675875,1.886,2.214,102.6,0.801
1400,1783399795635537176,2.137,2.137,90.6,0.761
1405,1783399795794776960,2.152,2.152,89.9,0.813
1410,1783399795972353599,1.814,2.137,106.7,0.818
1415,1783399796135534981,2.121,2.121,91.2,0.843
1420,1783399796304541763,1.756,2.121,110.2,0.701
1425,1783399796461022313,1.951,1.951,99.2,0.602
1430,1783399796625535711,4.385,1.951,44.1,0.672
1435,1783399796804184052,4.381,2.121,44.2,0.663
1440,1783399796960931258,3.924,3.924,49.3,0.736
1445,1783399797125733234,2.755,3.924,70.2,0.440
1450,1783399797293218169,5.112,4.381,37.9,0.667
1455,1783399797471084347,2.854,3.924,67.8,0.359
1460,1783399797635963378,2.765,2.854,70.0,0.397
1465,1783399797793829657,5.972,2.854,32.4,0.491
1470,1783399797960971561,5.194,5.112,37.3,0.586
1475,1783399798135347768,4.655,4.655,41.6,0.674
1480,1783399798302877989,4.701,4.701,41.2,0.603
1485,1783399798461996774,4.480,4.701,43.2,0.636
1490,1783399798625104786,4.926,4.701,39.3,0.464
1495,1783399798803578678,5.825,4.701,33.2,0.651
1500,1783399798971968850,5.701,4.926,33.9,0.530
1505,1783399799135656763,5.805,5.701,33.3,0.641
1510,1783399799303642027,5.795,5.795,33.4,0.526
1515,1783399799471985821,,5.795,,
1520,1783399799625759897,5.723,5.795,33.8,0.412
1525,1783399799793218242,,5.795,,
1530,1783399799961618363,,5.795,,
1535,1783399800125462652,,5.795,,
1540,1783399800293472513,,5.795,,
1545,1783399800462217177,,5.795,,
1550,1783399800625682728,,5.795,,
1555,1783399800794051930,,5.795,,
1560,1783399800961900886,7.826,5.795,24.7,0.490
1565,1783399801125895299,,5.795,,
1570,1783399801293360026,,5.795,,
1575,1783399801462046421,,5.795,,
1580,1783399801625935184,,5.795,,
1585,1783399801792873251,,5.795,,
1590,1783399801962121912,,5.795,,
1595,1783399802125796959,,5.795,,
1600,1783399802293527520,,,,
1605,1783399802461470164,,,,
1610,1783399802626313548,,,,
1615,1783399802793736135,7.555,,25.6,0.627
1620,1783399802962005970,7.568,7.562,25.6,0.596
1625,1783399803125789664,7.611,7.568,25.4,0.497
1630,1783399803294034140,7.601,7.584,25.5,0.479
1635,1783399803461787124,7.522,7.568,25.7,0.458
1640,1783399803624943026,8.054,7.601,24.0,0.559
1645,1783399803804223077,,7.601,,
1650,1783399803971774076,,7.601,,
1655,1783399804125953009,7.618,7.611,25.4,0.545
1660,1783399804294546146,8.007,7.618,24.2,0.518
1665,1783399804461493341,,7.618,,
1670,1783399804626090819,,7.618,,
1675,1783399804794093325,,7.618,,
1680,1783399804961172030,,7.618,,
